"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
vgb_adr_other,medication,,notes,"Adverse Drug Reaction on Vigabatrin (VGB) Other",,,,,,,"[vgb_adr(996)] = '1'",,,,,,
vgb_adr_led_to,medication,,radio,"Adverse Drug Reaction on Vigabatrin (VGB) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[vgb_adr_occur] = '1'",,,,,,
vgb_comment,medication,,notes,"Vigabatrin (VGB) Comment",,,,,,,"[vgb] = '1' or [vgb] = '2' or [vgb] = '3' or [vgb] = '4' or [vgb] = '5' or [vgb] = '7'",,,,,,
zon_sf_combi,medication,"

AED Details Zonisamide (ZON)",text,"Zonisamide (ZON) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[zon] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
zon_dose_known,medication,,radio,"Zonisamide (ZON) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[zon] = '1' or [zon] = '2' or [zon] = '3' or [zon] = '4' or [zon] = '5' or [zon] = '7'",,,,,,
zon_max,medication,,text,"Zonisamide (ZON) - Maximum dose [mg]",,,number,,,,"[zon_dose_known] = '1'",,,,,,
zon_max_mg_kg,medication,,text,"Zonisamide (ZON) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[zon_dose_known] = '1'",,,,,,
zon_max_ml_l,medication,,text,"Zonisamide (ZON) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[zon_dose_known] = '1'",,,,,,
zon_period,medication,,checkbox,"Zonisamide (ZON) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[zon] = '1' or [zon] = '2' or [zon] = '3' or [zon] = '4' or [zon] = '5' or [zon] = '7'",,,,,,
zon_start,medication,,text,"Zonisamide (ZON) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[zon_period(1)] = '1'",,,,,,
zon_stop,medication,,text,"Zonisamide (ZON) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[zon_period(2)] = '1'",,,,,,
zon_adr_occur,medication,,radio,"Adverse Drug Reaction on Zonisamide (ZON) ","1, Yes | 2, No | 998, Unknown",,,,,,"[zon] = '1' or [zon] = '2' or [zon] = '3' or [zon] = '4' or [zon] = '5' or [zon] = '7'",,,,,,
zon_adr,medication,,checkbox,"Adverse Drug Reaction on Zonisamide (ZON)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[zon_adr_occur] = '1'",,,,,,
zon_adr_other,medication,,notes,"Adverse Drug Reaction on Zonisamide (ZON) Other",,,,,,,"[zon_adr(996)] = '1'",,,,,,
zon_adr_led_to,medication,,radio,"Adverse Drug Reaction on Zonisamide (ZON) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[zon_adr_occur] = '1'",,,,,,
zon_comment,medication,,notes,"Zonisamide (ZON) Comment",,,,,,,"[zon] = '1' or [zon] = '2' or [zon] = '3' or [zon] = '4' or [zon] = '5' or [zon] = '7'",,,,,,
aed_other_spec,medication,"

AED Details AED Other ",text,"AED Other - Description",,,,,,,"[aed_other] = '1' or [aed_other] = '2' or [aed_other] = '3' or [aed_other] = '4' or [aed_other] = '5' or [aed_other] = '7'",,,,,,
aed_other_sf_combi,medication,,text,"AED Other - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[aed_other] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
aed_other_dose_known,medication,,radio,"AED Other - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[aed_other] = '1' or [aed_other] = '2' or [aed_other] = '3' or [aed_other] = '4' or [aed_other] = '5' or [aed_other] = '7'",,,,,,
aed_other_max,medication,,text,"AED Other - Maximum dose [mg]",,,number,,,,"[aed_other_dose_known] = '1'",,,,,,
aed_other_max_mg_kg,medication,,text,"AED Other - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[aed_other_dose_known] = '1'",,,,,,
aed_other_max_ml_l,medication,,text,"AED Other - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[aed_other_dose_known] = '1'",,,,,,
aed_other_period,medication,,checkbox,"AED Other - time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[aed_other] = '1' or [aed_other] = '2' or [aed_other] = '3' or [aed_other] = '4' or [aed_other] = '5' or [aed_other] = '7'",,,,,,
aed_other_start,medication,,text,"AED Other - start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[aed_other_period(1)] = '1'",,,,,,
aed_other_stop,medication,,text,"AED Other - stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[aed_other_period(2)] = '1'",,,,,,
aed_other_adr_occur,medication,,radio,"Adverse Drug Reaction on AED Other ","1, Yes | 2, No | 998, Unknown",,,,,,"[aed_other] = '1' or [aed_other] = '2' or [aed_other] = '3' or [aed_other] = '4' or [aed_other] = '5' or [aed_other] = '7'",,,,,,
aed_other_adr,medication,,checkbox,"Adverse Drug Reaction on AED Other ","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[aed_other_adr_occur] = '1'",,,,,,
aed_other_adr_other,medication,,notes,"Adverse Drug Reaction on AED Other - Other",,,,,,,"[aed_other_adr(996)] = '1'",,,,,,
aed_other_adr_led_to,medication,,radio,"Adverse Drug Reaction on AED Other led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[aed_other_adr_occur] = '1'",,,,,,
aed_other_comment,medication,,notes,"AED Other - Comment",,,,,,,"[aed_other] = '1' or [aed_other] = '2' or [aed_other] = '3' or [aed_other] = '4' or [aed_other] = '5' or [aed_other] = '7'",,,,,,
steroids_taken,medication,"

Steroids",radio,"Patient got steroids","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
steroids_spec,medication,,text,"Steroid description

",,,,,,,"[steroids_taken] = '1'",,,,,," @PLACEHOLDER=""e.g. 6x3x180mg Decortin H (20mg/kg/day)"""
steroids,medication,,radio,"Steroids effect","1, Seizure free | 2, Seizure free in combination | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[steroids_taken] = '1'",,,,,,
steroids_sf_combi,medication,,text,"<p>Steroids - Seizure free in combination with</p>",,"Additional AEDs which led to seizure freedom in combination",,,,,"[steroids] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
steroids_dose_known,medication,,radio,"Steroids  - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[steroids_taken] = '1'",,,,,,
steroids_max,medication,,text,"Steroids  - Maximum dose [mg]",,,number,,,,"[steroids_dose_known] = '1'",,,,,,
steroids_max_mg_kg,medication,,text,"Steroids - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[steroids_dose_known] = '1'",,,,,,
steroids_max_ml_l,medication,,text,"Steroids - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[steroids_dose_known] = '1'",,,,,,
steroids_period,medication,,checkbox,"Steroids  time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[steroids_taken] = '1'",,,,,,
steroids_start,medication,,text,"Steroids  start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[steroids_period(1)] = '1'",,,,,,
steroids_stop,medication,,text,"Steroids  stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[steroids_period(2)] = '1'",,,,,,
steroids_adr_occur,medication,,radio,"Adverse Drug Reaction on Steroids ","1, Yes | 2, No | 998, Unknown",,,,,,"[steroids_taken] = '1'",,,,,,
steroids_adr,medication,,checkbox,"Adverse Drug Reaction on Steroids ","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[steroids_adr_occur] = '1'",,,,,,
steroids_adr_other,medication,,notes,"Adverse Drug Reaction on Steroids Other",,,,,,,"[steroids_adr(996)] = '1'",,,,,,
steroids_adr_led_to,medication,,radio,"Adverse Drug Reaction on Steroids led to","1, No change | 2, Dose reduction | 3, Withdrawal of Steroids",,,,,,"[steroids_adr_occur] = '1'",,,,,,
steroids_comment,medication,,notes,"Steroids Comment",,,,,,,"[steroids_taken] = '1'",,,,,,
compliant_yn,medication,"

General AED Informations",radio,"Patient is compliant","1, Yes | 2, No | 3, Unclear",,,,,,,,,,,,
aed_complete,medication,,dropdown,"AED anamnesis  is complete till date of last clinical data","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
pharmacoresistant,medication,"

Responder status",radio,"Drug resistant<div class='note'>Failure of adequate trials of two tolerated and appropriately chosen and used AED schedules (whether as monotherapies or in combination) to achieve sustained seizure freedom (see <a style=text-decoration:underline;font-size:7pt; class='note' href=""http://dx.doi.org/10.1111/j.1528-1167.2009.02397.x"" target='_blank'>Kwan, P. et al, Epilepsia 2010</a>)</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
seizure_free,medication,,radio,"Patient is seizure free at date of last clinical data<div class='note'>
Seizures occur yearly - min. 2 years seizure free
Seizures occur monthly - min. 1 year seizure free
Seizures occur weekly - min. 6 month seizure free
Seizures occur daily - min. 4 weeks seizure free</div>
","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
relevant_comed,medication,"

Relevant comedication",radio,"Relevant comedication","1, Yes, please specify | 2, No | 3, Unknown",,,,,,,,,,,,
relevant_comed_com,medication,,notes,"Relevant comedicaton Comment",,,,,,,"[relevant_comed] = '1'",,,,,,
relevant_comed_effect,medication,,radio,"Relevant comedication - Effect on epilepsy","1, Positive | 2, Negative | 3, None | 4, Other, please specify (above) | 998, Unknown",,,,,,"[relevant_comed] = '1'",,,,,,
medication_note,medication,,notes,Note,,,,,,,,,,,,,
medication_data_ent,medication,,text,"Date of last data entry<div class='note'>Medication</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
non_drug_treat_yn,nondrug_treatment,,radio,"The Patient used non-drug treatment","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
non_drug_treat,nondrug_treatment,,checkbox,"Non-drug treatment","1, Ketogenic diet | 2, Surgery | 3, Vagus nerve stimulator (VNS) | 4, Deep brain stimulation (DBS) | 996, Other, please specify!",,,,,,"[non_drug_treat_yn] = '1'",,,,,,
ketogenic_diet_outcome,nondrug_treatment,,radio,"Ketogenic diet outcome","1, Seizure free | 2, Seizure free in combination with: Please specify! | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[non_drug_treat(1)] = '1'",,,,,,
ketogenic_diet_combi,nondrug_treatment,,notes,"Ketogenic diet: Seizure free in combination with",,,,,,,"[ketogenic_diet_outcome] = '2'",,,,,,
surgery_specify,nondrug_treatment,,notes,"Surgery details

<div class='note'>See <a style=""text-decoration:underline; font-size:7pt"" target=""_blank"" href=""https://www.nejm.org/doi/10.1056/NEJMoa1703784?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dwww.ncbi.nlm.nih.gov"">Blumke et. al 2017 (Table 2)</a></div>",,"Please specify!",,,,,"[non_drug_treat(2)] = '1'",,,,,,
surgery_outcome,nondrug_treatment,,radio,"Surgery outcome","1, Seizure free | 2, Seizure free in combination with: Please specify! | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[non_drug_treat(2)] = '1'",,,,,,
surgery_combi,nondrug_treatment,,notes,"Surgery: Seizure free in combination with",,,,,,,"[surgery_outcome] = '2'",,,,,,
vns_outcome,nondrug_treatment,,radio,"Vagus nerve stimulator (VNS) outcome","1, Seizure free | 2, Seizure free in combination with: Please specify! | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[non_drug_treat(3)] = '1'",,,,,,
vns_combi,nondrug_treatment,,notes,"Vagus nerve stimulator (VNS): Seizure free in combination with",,,,,,,"[vns_outcome] = '2'",,,,,,
dbs_outcome,nondrug_treatment,,radio,"Deep brain stimulation (DBS) outcome","1, Seizure free | 2, Seizure free in combination with: Please specify! | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[non_drug_treat(4)] = '1'",,,,,,
dbs_combi,nondrug_treatment,,notes,"Deep brain stimulation (DBS): Seizure free in combination with",,,,,,,"[dbs_outcome] = '2'",,,,,,
non_drug_treat_other,nondrug_treatment,,notes,"Non-drug treatment other",,,,,,,"[non_drug_treat(996)] = '1'",,,,,,
non_dru_other_combi,nondrug_treatment,,notes,"Non-drug treatment: Seizure free in combination with",,,,,,,"[non_dru_other_outcome] = '2'",,,,,,
non_dru_other_outcome,nondrug_treatment,,radio,"Non-drug treatment other: outcome","1, Seizure free | 2, Seizure free in combination with: Please specify! | 3, Reduction of seizure frequency >50% | 4, Non-responsive | 7, Aggravation | 5, Outcome unknown",,,,,,"[non_drug_treat(996)] = '1'",,,,,,
histopath_available,nondrug_treatment,,radio,"Histopathological results available","1, Yes, please specify! | 2, No | 998, Unknown",,,,,,"[non_drug_treat(2)] = '1'",,,,,,
histopath_result,nondrug_treatment,,checkbox,"Histopathological results","1, Hippocampal sclerosis | 2, Ganglioglioma | 3, Focal cortical dysplasia type II | 4, No lesion | 5, Dysembryoplastic neuroepithelial tumor | 6, Glial scar | 7, Cavernous angioma | 8, Mild malformation of cortical development | 9, Focal cortical dysplasia type I | 10, Focal cortical dysplasia not otherwise specified | 996, Other, please specify!",,,,,,"[histopath_available] = '1'",,,,,,
histopath_specify,nondrug_treatment,,notes,"Histopathological results other",,,,,,,"[histopath_result(996)] = '1'",,,,,,
non_dru_treat_note,nondrug_treatment,,notes,Note,,,,,,,,,,,,,
non_dru_treat_data_ent,nondrug_treatment,,text,"Date of last data entry<div class='note'>Non-drug Treatment</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
levbonn,projects,Projects,radio,"LEV Bonn","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
sp5,projects,,radio,SP5,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
cogie,projects,,radio,CoGIE,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
lempke,projects,,radio,Lempke,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
res,projects,,radio,RES,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
ngfn,projects,,radio,NGFN,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
wgs_balling,projects,,radio,"WGS (Balling)","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
epicure,projects,,radio,Epicure,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
akf,projects,,radio,AKF,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
dfg,projects,,radio,DFG,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
ionneuronet,projects,,radio,IonNeuroNet,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
pnh_heterotopien,projects,,radio,PNH-Heterotopien,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
epimirna,projects,,radio,EpimiRNA,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
gaba_panel,projects,,radio,Gaba-Panel,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
cenet,projects,,radio,Cenet,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
mtle_sanjay,projects,,radio,"MTLE (Sanjay)","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
eses_rolando,projects,,radio,"ESES & Rolando","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
prrt2_project,projects,,radio,PRRT2,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
epipgx,projects,,radio,EpiPGX,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
epi25,projects,,radio,Epi25,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
netre,projects,,radio,NETRE,"1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
ti_wgs,projects,,radio,"TreatIon - WGS","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
ti_pre_med,projects,,radio,"TreatIon - Precision Medicine","1, To be screened | 2, Eligible | 3, Included | 4, Excluded",,,,,,,,,,projects,,
levbonn_sampl,projects," ",text,"LEV Bonn Sample ID",,,,,,,"[levbonn] = '3'",,,,,,
sp5_sampl,projects,,text,"SP5 Sample ID",,,,,,,"[sp5] = '3'",,,,,,
cogie_sampl,projects,,text,"CoGIE Sample ID",,,,,,,"[cogie] = '3'",,,,,,
lempke_sampl,projects,,text,"Lempke Sample ID",,,,,,,"[lempke] = '3'",,,,,,
res_sampl,projects,,text,"RES Sample ID",,,,,,,"[res] = '3'",,,,,,
ngfn_sampl,projects,,text,"NGFN Sample ID",,,,,,,"[ngfn] = '3'",,,,,,
wgs_sampl,projects,,text,"WGS (Balling) Sample ID",,,,,,,"[wgs_balling] = '3'",,,,,,
epicure_sampl,projects,,text,"Epicure Sample ID",,,,,,,"[epicure] = '3'",,,,,,
akf_sampl,projects,,text,"AKF Sample ID",,,,,,,"[akf] = '3'",,,,,,
dfg_sampl,projects,,text,"DFG Sample ID",,,,,,,"[dfg] = '3'",,,,,,
ionneuronet_sampl,projects,,text,"IonNeuroNet Sample ID",,,,,,,"[ionneuronet] = '3'",,,,,,
pnh_sampl,projects,,text,"PNH-Heterotopien Sample ID",,,,,,,"[pnh_heterotopien] = '3'",,,,,,
epimirna_sampl,projects,,text,"EpimiRNA Sample ID",,,,,,,"[epimirna] = '3'",,,,,,
gaba_sampl,projects,,text,"Gaba-Panel Sample ID",,,,,,,"[gaba_panel] = '3'",,,,,,
cenet_sampl,projects,,text,"Cenet Sample ID",,,,,,,"[cenet] = '3'",,,,,,
mtle_sampl,projects,,text,"MTLE (Sanjay) Sample ID",,,,,,,"[mtle_sanjay] = '3'",,,,,,
eses_sampl,projects,,text,"ESES & Rolando Sample ID",,,,,,,"[eses_rolando] = '3'",,,,,,
prrt2_sampl,projects,,text,"PRRT2 Sample ID",,,,,,,"[prrt2] = '3'",,,,,,
epipgx_sampl,projects,,text,"EpiPGX Sample ID",,,,,,,"[epipgx] = '3'",,,,,,
epipgx_sampl_2,projects,,text,"EpiPGX Sample ID 02",,,,,,,"[epipgx] = '3'",,,,,,
epi25_year,projects,,radio,"Epi25 inclusion/exclusion year","1, Year 1 | 2, Year 2 | 3, Year 3 | 4, Year 4 | 5, Year 5",,,,,,"[epi25] = '3' or [epi25] = '4'",,,,,,
epi25_record_id,projects,,text,"Epi25 Record ID",,,,,,,"[epi25] = '3'",,,,,,
epi25_local_identifier,projects,,text,"Epi25 Local Identifier",,"Sample identifier as allocated by the group contributing the sample.",,,,,"[epi25] = '3'",,,,,,
epi25_sampl,projects,,text,"Epi25 Sample ID<div class='note'>Id of the sample sent to Epi25</div>",,,,,,,"[epi25] = '3'",,,,,,
epi25_sampl_date,projects,,text,"Epi25 Sample shipping date",,,date_ymd,,,,"[epi25] = '3'",,RH,,,,
epi25_sampl_2,projects,,text,"Epi25 Sample ID 02<div class='note'>Id of the second sample sent to Epi25</div>",,,,,,,"[epi25] = '3'",,,,,,
epi25_sampl_2_date,projects,,text,"Epi25 Sample 02 shipping date",,,date_ymd,,,,"[epi25] = '3'",,RH,,,,
ti_wgs_sampl,projects,,text,"TreatIon - WGS Sample ID",,,,,,,"[ti_wgs] = '3'",,,,,,
projects_note,projects," ",notes,Note,,,,,,,,,RH,,,,
projects_data_ent,projects,,text,"Date of last data entry<div class='note'>Projects</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
enter_sample_id,dna_information,,descriptive,"<div class=""rich-text-field-label""><p>?</p> <p><span style=""color: #e03e2d;"">Please enter DNA-Sample-ID in the ""General Information"" section!</span></p> <p>?</p></div>",,,,,,,"[sample_id_01] =0",,,,,,
dna_available,dna_information,,radio,"DNA available","1, >5ug | 2, < 5ug | 3, None | 998, Quantity unknown",,,,,,"[sample_id_01] >""""",,,,,,
info_sample_id_01,dna_information,,descriptive,"<div class=""rich-text-field-label""><p>?</p> <p>[sample_id_01]</p> <p>?</p></div>",,,,,,,"[sample_id_01] >""""",,,,,,
dna_concentration_01,dna_information,,text,"[sample_id_01] - DNA concentration (ng/ul)",,,,,,,"[sample_id_01] >""""",,,,,,
dna_amount_01,dna_information,,text,"[sample_id_01] - DNA quantity (ug)",,,,,,,"[sample_id_01] >""""",,,,,,
dna_quality_260_280_01,dna_information,,text,"[sample_id_01] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_01] >""""",,,,,,
dna_quality_260_230_01,dna_information,,text,"[sample_id_01] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_01] >""""",,,,,,
dna_prep_date_01,dna_information,,text,"[sample_id_01] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_01] >""""",,,,,,
sample_id_02_info,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_02]</p> <p>?</p></div>",,,,,,,"[sample_id_02] >""""",,,,,,
dna_concentration_02,dna_information,,text,"[sample_id_02] - DNA concentration (ng/ul)",,,,,,,"[sample_id_02] >""""",,,,,,
dna_amount_02,dna_information,,text,"[sample_id_02] - DNA quantity (ug)",,,,,,,"[sample_id_02] >""""",,,,,,
dna_quality_260_280_02,dna_information,,text,"[sample_id_02] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_02] >""""",,,,,,
dna_quality_260_230_02,dna_information,,text,"[sample_id_02] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_02] >""""",,,,,,
dna_prep_date_02,dna_information,,text,"[sample_id_02] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_02] >""""",,,,,,
info_sample_id_03,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_03]</p> <p>?</p></div>",,,,,,,"[sample_id_03] >""""",,,,,,
dna_concentration_03,dna_information,,text,"[sample_id_03] - DNA concentration (ng/ul)",,,,,,,"[sample_id_03] >""""",,,,,,
dna_amount_03,dna_information,,text,"[sample_id_03] - DNA quantity (ug)",,,,,,,"[sample_id_03] >""""",,,,,,
dna_quality_260_280_03,dna_information,,text,"[sample_id_03] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_03] >""""",,,,,,
dna_quality_260_230_03,dna_information,,text,"[sample_id_03] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_03] >""""",,,,,,
dna_prep_date_03,dna_information,,text,"[sample_id_03] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_03] >""""",,,,,,
info_sample_id_04,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_04]</p> <p>?</p></div>",,,,,,,"[sample_id_04] >""""",,,,,,
dna_concentration_04,dna_information,,text,"[sample_id_04] - DNA concentration (ng/ul)",,,,,,,"[sample_id_04] >""""",,,,,,
dna_amount_04,dna_information,,text,"[sample_id_04] - DNA quantity (ug)",,,,,,,"[sample_id_04] >""""",,,,,,
dna_quality_260_280_04,dna_information,,text,"[sample_id_04] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_04] >""""",,,,,,
dna_quality_260_230_04,dna_information,,text,"[sample_id_04] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_04] >""""",,,,,,
dna_prep_date_04,dna_information,,text,"[sample_id_04] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_04] >""""",,,,,,
info_sample_id_05,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_05]</p> <p>?</p></div>",,,,,,,"[sample_id_05] >""""",,,,,,
dna_concentration_05,dna_information,,text,"[sample_id_05] - DNA concentration (ng/ul)",,,,,,,"[sample_id_05] >""""",,,,,,
dna_amount_05,dna_information,,text,"[sample_id_05] - DNA quantity (ug)",,,,,,,"[sample_id_05] >""""",,,,,,
dna_quality_260_280_05,dna_information,,text,"[sample_id_05] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_05] >""""",,,,,,
dna_quality_260_230_05,dna_information,,text,"[sample_id_05] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_05] >""""",,,,,,
dna_prep_date_05,dna_information,,text,"[sample_id_05] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_05] >""""",,,,,,
info_sample_id_06,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_06]</p> <p>?</p></div>",,,,,,,"[sample_id_06] >""""",,,,,,
dna_concentration_06,dna_information,,text,"[sample_id_06] - DNA concentration (ng/ul)",,,,,,,"[sample_id_06] >""""",,,,,,
dna_amount_06,dna_information,,text,"[sample_id_06] - DNA quantity (ug)",,,,,,,"[sample_id_06] >""""",,,,,,
dna_quality_260_280_06,dna_information,,text,"[sample_id_06] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_06] >""""",,,,,,
dna_quality_260_230_06,dna_information,,text,"[sample_id_06] - DNA quality (ratio 260/230)",,,,,,,"[sample_id_06] >""""",,,,,,
dna_prep_date_06,dna_information,,text,"[sample_id_06] - Date of DNA preparation",,,date_ymd,,,,"[sample_id_06] >""""",,,,,,
info_sample_id_07,dna_information,,descriptive,"<div class=""rich-text-field-label""><p><br />[sample_id_07]</p> <p>?</p></div>",,,,,,,"[sample_id_07] >""""",,,,,,
dna_concentration_07,dna_information,,text,"[sample_id_07] - DNA concentration (ng/ul)",,,,,,,"[sample_id_07] >""""",,,,,,
dna_amount_07,dna_information,,text,"[sample_id_07] - DNA quantity (ug)",,,,,,,"[sample_id_07] >""""",,,,,,
dna_quality_260_280_07,dna_information,,text,"[sample_id_07] - DNA quality (ratio 260/280)",,,,,,,"[sample_id_07] >""""",,,,,,
